n_bats,best_fitness
3,0.9210526315789473
5,0.9210526315789473
7,0.9473684210526315
9,0.9473684210526315
11,0.9605263157894737
13,0.9473684210526315
15,0.9605263157894737
17,0.9473684210526315
19,0.9473684210526315
21,0.9605263157894737
23,0.9605263157894737
25,0.9473684210526315
27,0.9605263157894737
29,0.9605263157894737
31,0.9605263157894737
33,0.9605263157894737
35,0.9605263157894737
37,0.9473684210526315
39,0.9473684210526315
41,0.9605263157894737
43,0.9605263157894737
45,0.9736842105263158
47,0.9473684210526315
49,0.9605263157894737
1,0.9342105263157895
3,0.9342105263157895
5,0.9342105263157895
7,0.9605263157894737
9,0.9342105263157895
11,0.9473684210526315
13,0.9605263157894737
15,0.9605263157894737
17,0.9605263157894737
19,0.9473684210526315
21,0.9605263157894737
23,0.9473684210526315
25,0.9605263157894737
27,0.9605263157894737
29,0.9473684210526315
31,0.9605263157894737
33,0.9605263157894737
35,0.9473684210526315
37,0.9605263157894737
39,0.9605263157894737
41,0.9473684210526315
43,0.9736842105263158
45,0.9473684210526315
47,0.9605263157894737
49,0.9605263157894737
1,0.9342105263157895
3,0.9473684210526315
5,0.9210526315789473
7,0.9605263157894737
9,0.9736842105263158
11,0.9473684210526315
13,0.9605263157894737
15,0.9473684210526315
17,0.9473684210526315
19,0.9605263157894737
21,0.9605263157894737
23,0.9605263157894737
25,0.9473684210526315
27,0.9473684210526315
29,0.9473684210526315
31,0.9736842105263158
33,0.9605263157894737
35,0.9736842105263158
37,0.9473684210526315
39,0.9736842105263158
41,0.9473684210526315
43,0.9605263157894737
45,0.9605263157894737
47,0.9605263157894737
49,0.9605263157894737
1,0.9473684210526315
3,0.9473684210526315
5,0.9342105263157895
7,0.9342105263157895
9,0.9473684210526315
11,0.9473684210526315
13,0.9473684210526315
15,0.9473684210526315
17,0.9473684210526315
19,0.9473684210526315
21,0.9473684210526315
23,0.9605263157894737
25,0.9473684210526315
27,0.9605263157894737
29,0.9605263157894737
31,0.9473684210526315
33,0.9473684210526315
35,0.9605263157894737
37,0.9473684210526315
39,0.9605263157894737
41,0.9605263157894737
43,0.9473684210526315
45,0.9473684210526315
47,0.9605263157894737
49,0.9736842105263158
1,0.9342105263157895
3,0.9473684210526315
5,0.9473684210526315
7,0.9473684210526315
9,0.9342105263157895
11,0.9473684210526315
13,0.9473684210526315
15,0.9605263157894737
17,0.9605263157894737
19,0.9605263157894737
21,0.9605263157894737
23,0.9473684210526315
25,0.9605263157894737
27,0.9473684210526315
29,0.9605263157894737
31,0.9868421052631579
33,0.9473684210526315
35,0.9605263157894737
37,0.9473684210526315
39,0.9605263157894737
41,0.9605263157894737
43,0.9605263157894737
45,0.9736842105263158
47,0.9736842105263158
49,0.9605263157894737
1,0.9342105263157895
3,0.9342105263157895
5,0.9605263157894737
7,0.9473684210526315
9,0.9473684210526315
11,0.9473684210526315
13,0.9605263157894737
15,0.9473684210526315
17,0.9473684210526315
19,0.9605263157894737
21,0.9605263157894737
23,0.9605263157894737
25,0.9342105263157895
27,0.9473684210526315
29,0.9605263157894737
31,0.9605263157894737
33,0.9736842105263158
35,0.9605263157894737
37,0.9605263157894737
39,0.9605263157894737
41,0.9605263157894737
43,0.9605263157894737
45,0.9736842105263158
47,0.9605263157894737
49,0.9605263157894737
1,0.9210526315789473
3,0.9342105263157895
5,0.9342105263157895
7,0.9473684210526315
9,0.9473684210526315
11,0.9605263157894737
13,0.9473684210526315
15,0.9473684210526315
17,0.9473684210526315
19,0.9605263157894737
21,0.9605263157894737
23,0.9605263157894737
25,0.9605263157894737
27,0.9605263157894737
29,0.9605263157894737
31,0.9605263157894737
33,0.9605263157894737
35,0.9473684210526315
37,0.9605263157894737
39,0.9605263157894737
41,0.9605263157894737
43,0.9605263157894737
45,0.9736842105263158
47,0.9605263157894737
49,0.9736842105263158
1,0.9342105263157895
3,0.9473684210526315
5,0.9473684210526315
7,0.9605263157894737
9,0.9605263157894737
11,0.9473684210526315
13,0.9605263157894737
15,0.9736842105263158
17,0.9605263157894737
19,0.9736842105263158
21,0.9605263157894737
23,0.9473684210526315
25,0.9473684210526315
27,0.9473684210526315
29,0.9605263157894737
31,0.9605263157894737
33,0.9473684210526315
35,0.9473684210526315
37,0.9473684210526315
39,0.9736842105263158
41,0.9605263157894737
43,0.9473684210526315
45,0.9473684210526315
47,0.9605263157894737
49,0.9605263157894737
1,0.9342105263157895
3,0.9342105263157895
5,0.9473684210526315
7,0.9473684210526315
9,0.9473684210526315
11,0.9473684210526315
13,0.9473684210526315
15,0.9605263157894737
17,0.9605263157894737
19,0.9605263157894737
21,0.9605263157894737
23,0.9605263157894737
25,0.9605263157894737
27,0.9605263157894737
29,0.9605263157894737
31,0.9605263157894737
33,0.9605263157894737
35,0.9736842105263158
37,0.9736842105263158
39,0.9473684210526315
41,0.9605263157894737
43,0.9473684210526315
45,0.9605263157894737
47,0.9736842105263158
49,0.9605263157894737
1,0.9210526315789473
3,0.9342105263157895
5,0.9473684210526315
7,0.9605263157894737
9,0.9473684210526315
11,0.9473684210526315
13,0.9342105263157895
15,0.9473684210526315
17,0.9473684210526315
19,0.9605263157894737
21,0.9736842105263158
23,0.9605263157894737
25,0.9736842105263158
27,0.9605263157894737
29,0.9605263157894737
31,0.9473684210526315
33,0.9473684210526315
35,0.9473684210526315
37,0.9473684210526315
39,0.9473684210526315
41,0.9605263157894737
43,0.9605263157894737
45,0.9605263157894737
47,0.9605263157894737
49,0.9605263157894737
